community	medium	size	mip	mro
comm_20_0	complete	20	30	0.6560229024443955
comm_20_1	complete	20	29	0.659814772983962
comm_20_10	complete	20	35	0.6389582202930005
comm_20_11	complete	20	29	0.6765327695560254
comm_20_12	complete	20	31	0.6603855317305609
comm_20_13	complete	20	34	0.6566835498788813
comm_20_14	complete	20	30	0.6635964912280702
comm_20_15	complete	20	28	0.6702560158224372
comm_20_16	complete	20	29	0.6579501385041552
comm_20_17	complete	20	30	0.6527612666162326
comm_20_18	complete	20	29	0.6512459492680746
comm_20_19	complete	20	29	0.6593025774312323
comm_20_2	complete	20	30	0.6532053403950127
comm_20_20	complete	20	26	0.6705328810591967
comm_20_21	complete	20	29	0.6563081299923404
comm_20_22	complete	20	30	0.6645289694825298
comm_20_23	complete	20	28	0.6588287001428415
comm_20_24	complete	20	29	0.6687704271385101
comm_20_25	complete	20	29	0.6604661341503446
comm_20_26	complete	20	28	0.6652452025586354
comm_20_27	complete	20	27	0.6766917293233082
comm_20_28	complete	20	29	0.6713599284836295
comm_20_29	complete	20	29	0.6684776457272212
comm_20_3	complete	20	32	0.6277257202907435
comm_20_30	complete	20	29	0.6744887696949379
comm_20_31	complete	20	28	0.6735094998908059
comm_20_32	complete	20	29	0.6687690300130492
comm_20_33	complete	20	27	0.6743353228431904
comm_20_34	complete	20	27	0.6732911115964184
comm_20_35	complete	20	28	0.6630716134598792
comm_20_36	complete	20	33	0.6460905349794238
comm_20_37	complete	20	30	0.6612518951700238
comm_20_38	complete	20	32	0.6665937192252981
comm_20_39	complete	20	31	0.6655562958027982
comm_20_4	complete	20	29	0.6447368421052632
comm_20_40	complete	20	28	0.6682883679787704
comm_20_41	complete	20	30	0.6426360017691286
comm_20_42	complete	20	30	0.6632021229544449
comm_20_43	complete	20	30	0.6538750133990782
comm_20_44	complete	20	30	0.656398891966759
comm_20_45	complete	20	31	0.657671721677074
comm_20_46	complete	20	30	0.6737749546279492
comm_20_47	complete	20	31	0.6438385119425069
comm_20_48	complete	20	35	0.6610096670247047
comm_20_49	complete	20	32	0.6683090705487122
comm_20_5	complete	20	28	0.6636820266433718
comm_20_50	complete	20	36	0.6456140350877193
comm_20_51	complete	20	32	0.6607563685332735
comm_20_52	complete	20	29	0.6639161462979483
comm_20_53	complete	20	34	0.6517124411861254
comm_20_54	complete	20	28	0.6662387676508343
comm_20_55	complete	20	29	0.6703247480403136
comm_20_56	complete	20	36	0.6615919965202262
comm_20_57	complete	20	31	0.6604449267498644
comm_20_58	complete	20	29	0.6643658326143227
comm_20_59	complete	20	32	0.6633976244960227
comm_20_6	complete	20	28	0.673374613003096
comm_20_60	complete	20	30	0.6673328891849878
comm_20_61	complete	20	29	0.6735509660226515
comm_20_62	complete	20	28	0.6699357088373107
comm_20_63	complete	20	30	0.663766855154415
comm_20_64	complete	20	29	0.6541353383458647
comm_20_65	complete	20	29	0.6657063711911357
comm_20_66	complete	20	28	0.659404659188956
comm_20_67	complete	20	28	0.6632686980609419
comm_20_68	complete	20	27	0.679860809047412
comm_20_69	complete	20	28	0.6499137187230372
comm_20_7	complete	20	31	0.6618720714830555
comm_20_70	complete	20	31	0.6459833795013851
comm_20_71	complete	20	29	0.6764705882352942
comm_20_72	complete	20	28	0.6698165036809142
comm_20_73	complete	20	28	0.6657063711911357
comm_20_74	complete	20	29	0.6661462979482604
comm_20_75	complete	20	27	0.6721329639889196
comm_20_76	complete	20	29	0.649789029535865
comm_20_77	complete	20	29	0.6550928469398967
comm_20_78	complete	20	29	n/a
comm_20_79	complete	20	32	0.6548019533369506
comm_20_8	complete	20	34	0.6483693897319988
comm_20_80	complete	20	31	0.6708888403581568
comm_20_81	complete	20	34	0.6412684430742127
comm_20_82	complete	20	32	0.6693769915393912
comm_20_83	complete	20	32	0.6707818930041153
comm_20_84	complete	20	34	0.6444726273515113
comm_20_85	complete	20	34	0.6451254719076172
comm_20_86	complete	20	28	0.6668846028113763
comm_20_87	complete	20	28	0.6753071114617378
comm_20_88	complete	20	32	0.6555900954014363
comm_20_89	complete	20	33	0.6680584551148225
comm_20_9	complete	20	28	0.667624944714728
comm_20_90	complete	20	28	0.637719298245614
comm_20_91	complete	20	34	0.6556016597510373
comm_20_92	complete	20	30	0.6368003341687553
comm_20_93	complete	20	32	0.6623175586023883
comm_20_94	complete	20	30	0.6608927381745503
comm_20_95	complete	20	30	n/a
comm_20_96	complete	20	30	0.6748317334216043
comm_20_97	complete	20	30	0.650368314294865
comm_20_98	complete	20	28	0.6647856755290288
comm_20_99	complete	20	30	0.6332431870189307
